id;available;delivery;pickup;store;url;vendor;name;category;price;oldprice;currencyId;picture;description;param;sales_notes;warranty;country_of_origin;barcode;bid;cbid
al4fAQ5jiIfu;true;true;false;false;https://amo-led.ru/product/apple_iphone_5_16gb_rfb;Apple;Apple iPhone 5 16Gb Black восстановленный;Мобильные телефоны;4499;5300;RUR;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5/Black/img.jpg;В наличии в любом цвете! Оплата: наличными, по карте, в кредит, через р/с юрлиц. Доставка по РФ.;;;1 год;;;;;Восстановленный
U6Oj08hNN6F3;true;true;false;false;https://amo-led.ru/product/apple_iphone_5_16gb_rfb;Apple;Apple iPhone 5 16Gb White восстановленный;Мобильные телефоны;4499;5300;RUR;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5/White/img.jpg;В наличии в любом цвете! Оплата: наличными, по карте, в кредит, через р/с юрлиц. Доставка по РФ.;;;1 год;;;;;Восстановленный
xDbqdV6fcm9F;true;true;false;false;https://amo-led.ru/product/apple_iphone_5_32gb_rfb;Apple;Apple iPhone 5 32Gb Black восстановленный;Мобильные телефоны;4899;5700;RUR;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5/Black/img.jpg;В наличии в любом цвете! Оплата: наличными, по карте, в кредит, через р/с юрлиц. Доставка по РФ.;;;1 год;;;;;Восстановленный
rPmCGPq0wFoc;true;true;false;false;https://amo-led.ru/product/apple_iphone_5_32gb_rfb;Apple;Apple iPhone 5 32Gb White восстановленный;Мобильные телефоны;4899;5700;RUR;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5/White/img.jpg;В наличии в любом цвете! Оплата: наличными, по карте, в кредит, через р/с юрлиц. Доставка по РФ.;;;1 год;;;;;Восстановленный
oS9OdUNyaxi8;true;true;false;false;https://amo-led.ru/product/apple_iphone_5_64gb_rfb;Apple;Apple iPhone 5 64Gb Black восстановленный;Мобильные телефоны;5499;6400;RUR;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5/Black/img.jpg;В наличии в любом цвете! Оплата: наличными, по карте, в кредит, через р/с юрлиц. Доставка по РФ.;;;1 год;;;;;Восстановленный
ImL3ogjDJ5yQ;true;true;false;false;https://amo-led.ru/product/apple_iphone_5_64gb_rfb;Apple;Apple iPhone 5 64Gb White восстановленный;Мобильные телефоны;5499;6400;RUR;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5/White/img.jpg;В наличии в любом цвете! Оплата: наличными, по карте, в кредит, через р/с юрлиц. Доставка по РФ.;;;1 год;;;;;Восстановленный
3kfi8b5xGUVO;true;true;false;false;https://amo-led.ru/product/apple_iphone_5c_16gb_rfb;Apple;Apple iPhone 5C 16Gb Blue восстановленный;Мобильные телефоны;4699;5500;RUR;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5C/Blue/img.jpg;В наличии в любом цвете! Оплата: наличными, по карте, в кредит, через р/с юрлиц. Доставка по РФ.;;;1 год;;;;;Восстановленный
qNyzInp83Aec;true;true;false;false;https://amo-led.ru/product/apple_iphone_5c_16gb_rfb;Apple;Apple iPhone 5C 16Gb Green восстановленный;Мобильные телефоны;4699;5500;RUR;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5C/Green/img.jpg;В наличии в любом цвете! Оплата: наличными, по карте, в кредит, через р/с юрлиц. Доставка по РФ.;;;1 год;;;;;Восстановленный
4fIEIIcb6KfP;true;true;false;false;https://amo-led.ru/product/apple_iphone_5c_16gb_rfb;Apple;Apple iPhone 5C 16Gb Pink восстановленный;Мобильные телефоны;4699;5500;RUR;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5C/Pink/img.jpg;В наличии в любом цвете! Оплата: наличными, по карте, в кредит, через р/с юрлиц. Доставка по РФ.;;;1 год;;;;;Восстановленный
A3AAKTxWbxK9;true;true;false;false;https://amo-led.ru/product/apple_iphone_5c_16gb_rfb;Apple;Apple iPhone 5C 16Gb White восстановленный;Мобильные телефоны;4699;5500;RUR;https://raw.githubusercontent.com/bav735/PhotosGit/master/site/Apple/iPhone/5C/White/img.jpg;В наличии в любом цвете! Оплата: наличными, по карте, в кредит, через р/с юрлиц. Доставка по РФ.;;;1 год;;;;;Восстановленный
